locationLabel;regionLabel;geoloc
Přeckov;okres Třebíč;Point(15.916318731 49.275881133)
Závist;správní obvod obce s rozšířenou působností Blansko;Point(16.572070733 49.375199939)
Záblatí;okres Jindřichův Hradec;Point(14.686180643 49.107252355)
Záboří;okres České Budějovice;Point(14.267179492 48.990031913)
Zábřeh;okres Šumperk;Point(16.872280013 49.882620486)
Záchlumí;okres Tachov;Point(12.964977641 49.800220929)
Třeštice;okres Jihlava;Point(15.453234747 49.245554577)
Polkovice;okres Přerov;Point(17.259191901 49.391742231)
Jarcová;okres Vsetín;Point(17.965886905 49.444523744)
Radkovice u Hrotovic;okres Třebíč;Point(16.007103481 49.070478659)
Přešovice;okres Třebíč;Point(16.061351447 49.050145372)
Zvotoky;okres Strakonice;Point(13.757673802 49.212463339)
Švábov;okres Jihlava;Point(15.357052947 49.308479011)
Štěpkov;okres Třebíč;Point(15.650212108 49.084063804)
Záhoří;okres Písek;Point(14.213825704 49.349788403)
Rapotice;okres Třebíč;Point(16.25328266 49.192248081)
Rouchovany;okres Třebíč;Point(16.107612396 49.070399481)
Svojkovice;okres Jihlava;Point(15.635521597 49.166195119)
Popůvky;okres Třebíč;Point(16.127404365 49.159109186)
Studnice;okres Třebíč;Point(16.028966993 49.291028304)
Trnava;okres Třebíč;Point(15.924164246 49.254726515)
Slavíkovice;okres Třebíč;Point(15.624359616 49.00434064)
Radonín;okres Třebíč;Point(15.72415987 49.279745423)
Slavičky;okres Třebíč;Point(15.967911877 49.174801987)
Příštpo;okres Třebíč;Point(15.934911813 49.073883407)
Pozďatín;okres Třebíč;Point(16.037867226 49.235794562)
Vranová;správní obvod obce s rozšířenou působností Boskovice;Point(16.524787931 49.554069798)
Prosečné;okres Trutnov;Point(15.687427306 50.562070543)
Vrbice;okres Břeclav;Point(16.897786804 48.91510633)
Popice;okres Břeclav;Point(16.666906017 48.927285502)
Kobylí;správní obvod obce s rozšířenou působností Hustopeče;Point(16.891585922 48.932881136)
Velká Bystřice;okres Olomouc;Point(17.36401034 49.594235374)
Týnec;okres Břeclav;Point(17.013210309 48.779451607)
Morkůvky;správní obvod obce s rozšířenou působností Hustopeče;Point(16.862215362 48.966150166)
Tvrdonice;okres Břeclav;Point(16.994451932 48.760503162)
Uherčice;správní obvod obce s rozšířenou působností Hustopeče;Point(16.65344418 48.967829659)
Choryně;okres Vsetín;Point(17.898640487 49.495743134)
Dolní Němčí;okres Uherské Hradiště;Point(17.585852843 48.968373834)
Horní Lideč;okres Vsetín;Point(18.061001835 49.181207677)
Hrušky;okres Břeclav;Point(16.974036684 48.792743937)
Perná;správní obvod obce s rozšířenou působností Mikulov;Point(16.624419323 48.852248445)
Vrbice;správní obvod obce s rozšířenou působností Hustopeče;Point(16.897786804 48.91510633)
Dolní Dunajovice;správní obvod obce s rozšířenou působností Mikulov;Point(16.592826504 48.854500026)
Popice;správní obvod obce s rozšířenou působností Hustopeče;Point(16.666906017 48.927285502)
Milovice;okres Břeclav;Point(16.698139117 48.852514987)
Kněžpole;okres Uherské Hradiště;Point(17.516715427 49.098553693)
Hovězí;okres Vsetín;Point(18.060639745 49.303638146)
Hustopeče;okres Břeclav;Point(16.737622216 48.940871942)
Pozděchov;okres Vsetín;Point(17.955447978 49.233228832)
Březová;okres Beroun;Point(13.883069043 49.904167141)
Březolupy;okres Uherské Hradiště;Point(17.580350008 49.121388843)
Březské;okres Žďár nad Sázavou;Point(16.238190795 49.329953364)
Moravský Žižkov;okres Břeclav;Point(16.931391262 48.832873963)
Sedlec;okres Břeclav;Point(16.693877625 48.778920332)
Horní Bludovice;okres Karviná;Point(18.436812251 49.749633213)
Týnec;správní obvod obce s rozšířenou působností Břeclav;Point(17.013210309 48.779451607)
Klobouky u Brna;okres Břeclav;Point(16.859516743 48.99503415)
Tvrdonice;správní obvod obce s rozšířenou působností Břeclav;Point(16.994451932 48.760503162)
Hustopeče;správní obvod obce s rozšířenou působností Hustopeče;Point(16.737622216 48.940871942)
Nový Přerov;okres Břeclav;Point(16.49371968 48.809650237)
Hradčovice;okres Uherské Hradiště;Point(17.582095752 49.049773555)
Hrušky;správní obvod obce s rozšířenou působností Břeclav;Point(16.974036684 48.792743937)
Rakvice;okres Břeclav;Point(16.813299166 48.858135874)
Dolní Kounice;okres Brno-venkov;Point(16.46492889 49.070143005)
Jaroměřice nad Rokytnou;okres Třebíč;Point(15.893317828 49.094127133)
Růžďka;okres Vsetín;Point(17.995612293 49.393946977)
Velké Němčice;okres Břeclav;Point(16.672085325 48.991703668)
Březí;okres Žďár nad Sázavou;Point(16.21596586 49.343214456)
Halenkov;okres Vsetín;Point(18.147505985 49.317391842)
Kladeruby;okres Vsetín;Point(17.865172074 49.492718986)
Klobouky u Brna;správní obvod obce s rozšířenou působností Hustopeče;Point(16.859516743 48.99503415)
Starovičky;okres Břeclav;Point(16.775369904 48.907491311)
Milovice;správní obvod obce s rozšířenou působností Mikulov;Point(16.698139117 48.852514987)
Horní Lhota;okres Zlín;Point(17.80444904 49.154311321)
Plumlov;okres Prostějov;Point(17.015045041 49.466153202)
Velké Karlovice;okres Vsetín;Point(18.283572197 49.360623391)
Bříza;okres Litoměřice;Point(14.216343106 50.360590883)
Moravský Žižkov;správní obvod obce s rozšířenou působností Břeclav;Point(16.931391262 48.832873963)
Velké Němčice;správní obvod obce s rozšířenou působností Hustopeče;Point(16.672085325 48.991703668)
Břežany;správní obvod obce s rozšířenou působností Znojmo;Point(16.341748103 48.869958172)
Kurdějov;okres Břeclav;Point(16.763453072 48.957798758)
Hostětín;okres Uherské Hradiště;Point(17.879408145 49.04991531)
Starovice;okres Břeclav;Point(16.706612441 48.951610078)
Březí nad Oslavou;okres Žďár nad Sázavou;Point(15.93562744 49.502934399)
Němčičky;okres Břeclav;Point(16.824259254 48.935613681)
Hošťálková;okres Vsetín;Point(17.86945861 49.354671964)
Starovičky;správní obvod obce s rozšířenou působností Hustopeče;Point(16.775369904 48.907491311)
Huštěnovice;okres Uherské Hradiště;Point(17.464476231 49.108178572)
Sedlec;správní obvod obce s rozšířenou působností Mikulov;Point(16.693877625 48.778920332)
Rakvice;správní obvod obce s rozšířenou působností Břeclav;Point(16.813299166 48.858135874)
Oznice;okres Vsetín;Point(17.91731392 49.432463432)
Břežany;okres Znojmo;Point(16.341748103 48.869958172)
Přítluky;okres Břeclav;Point(16.773946968 48.855014155)
Valašské Příkazy;okres Zlín;Point(18.053784953 49.165864543)
Nový Přerov;správní obvod obce s rozšířenou působností Mikulov;Point(16.49371968 48.809650237)
Břežany II;okres Kolín;Point(14.804367263 50.093827509)
Kurdějov;správní obvod obce s rozšířenou působností Hustopeče;Point(16.763453072 48.957798758)
Starovice;správní obvod obce s rozšířenou působností Hustopeče;Point(16.706612441 48.951610078)
Huslenky;okres Vsetín;Point(18.090384319 49.303166425)
Valašská Senice;okres Vsetín;Point(18.116960688 49.225269589)
Němčičky;správní obvod obce s rozšířenou působností Hustopeče;Point(16.824259254 48.935613681)
Hutisko-Solanec;okres Vsetín;Point(18.21394944 49.430956144)
Břidličná;okres Bruntál;Point(17.37112591 49.911676127)
Dobré Pole;okres Břeclav;Point(16.53517389 48.824367212)
Podivín;okres Břeclav;Point(16.848213144 48.825563494)
Ostrožská Lhota;okres Uherské Hradiště;Point(17.467513901 48.975597942)
Horní Bojanovice;okres Břeclav;Point(16.800147725 48.949728893)
Dolní Kounice;správní obvod obce s rozšířenou působností Ivančice;Point(16.46492889 49.070143005)
Nikolčice;okres Břeclav;Point(16.75419016 48.993207485)
Třemošnice;okres Chrudim;Point(15.580079728 49.86916811)
Přítluky;správní obvod obce s rozšířenou působností Břeclav;Point(16.773946968 48.855014155)
Perná;okres Břeclav;Point(16.624419323 48.852248445)
Janová;okres Vsetín;Point(18.020064256 49.312038116)
Dolní Dunajovice;okres Břeclav;Point(16.592826504 48.854500026)
Břvany;okres Louny;Point(13.721626289 50.401238476)
Cotkytle;okres Ústí nad Orlicí;Point(16.724091141 49.936206179)
Bříství;okres Nymburk;Point(14.841810814 50.133992276)
Nikolčice;správní obvod obce s rozšířenou působností Hustopeče;Point(16.75419016 48.993207485)
Lidečko;okres Vsetín;Point(18.05131069 49.203023768)
Korytná;okres Uherské Hradiště;Point(17.665196571 48.940974109)
Kudlovice;okres Uherské Hradiště;Point(17.457174278 49.1316749)
Kobylí;okres Břeclav;Point(16.891585922 48.932881136)
Police;okres Vsetín;Point(17.867569553 49.456717724)
Smečno;okres Kladno;Point(14.040442643 50.188522208)
Podivín;správní obvod obce s rozšířenou působností Břeclav;Point(16.848213144 48.825563494)
Morkůvky;okres Břeclav;Point(16.862215362 48.966150166)
Uherčice;okres Břeclav;Point(16.65344418 48.967829659)
Dobré Pole;správní obvod obce s rozšířenou působností Mikulov;Point(16.53517389 48.824367212)
Podmolí;správní obvod obce s rozšířenou působností Znojmo;Point(15.940065215 48.850682056)
Horní Jiřetín;okres Most;Point(13.547270714 50.573187678)
Chyšky;okres Písek;Point(14.427607336 49.523532971)
Suchov;okres Hodonín;Point(17.563449039 48.907428582)
Osov;okres Beroun;Point(14.083970821 49.844457798)
Hůry;okres České Budějovice;Point(14.541093611 49.006564079)
Kestřany;okres Písek;Point(14.072563794 49.269133831)
Lešetice;okres Příbram;Point(14.021130289 49.647282004)
Podmolí;okres Znojmo;Point(15.940065215 48.850682056)
Sobkovice;okres Ústí nad Orlicí;Point(16.595044047 50.04793508)
Vápenice;okres Uherské Hradiště;Point(17.841204847 48.967808563)
Verušičky;okres Karlovy Vary;Point(13.174353415 50.141642536)
Brod nad Dyjí;správní obvod obce s rozšířenou působností Mikulov;Point(16.535376457 48.875239357)
Příseka;okres Havlíčkův Brod;Point(15.425677957 49.670888565)
Nákří;okres České Budějovice;Point(14.329358519 49.118944498)
Raduň;okres Opava;Point(17.943292555 49.892866473)
Fryčovice;okres Frýdek-Místek;Point(18.223241845 49.66675607)
Církvice;okres Kutná Hora;Point(15.335108691 49.945657121)
Dolní Bousov;okres Mladá Boleslav;Point(15.128214496 50.438305994)
Uhřice;okres Hodonín;Point(16.947581682 49.050367718)
Nezvěstice;České království;Point(13.519665968 49.640525963)
Město Touškov;okres Plzeň-sever;Point(13.251134564 49.775975966)
Bruzovice;okres Frýdek-Místek;Point(18.40967782 49.716976561)
Bojanovice;správní obvod obce s rozšířenou působností Znojmo;Point(15.989062143 48.968201504)
Kočov;okres Tachov;Point(12.736653658 49.808771394)
Hořice;okres Jičín;Point(15.631918228 50.36613674)
Hřebečníky;okres Rakovník;Point(13.753289504 49.984628669)
Klíny;okres Most;Point(13.548221675 50.638335965)
Brodek u Přerova;okres Přerov;Point(17.338275457 49.484199033)
Hornosín;okres Strakonice;Point(13.839804968 49.482841857)
Bojanovice;okres Znojmo;Point(15.989062143 48.968201504)
Lhota pod Libčany;okres Hradec Králové;Point(15.69631282 50.172468582)
Jenštejn;okres Praha-východ;Point(14.611876548 50.152728256)
Luhačovice;okres Zlín;Point(17.757479338 49.099822634)
Pernink;okres Karlovy Vary;Point(12.783797302 50.365799544)
Horní Bělá;okres Plzeň-sever;Point(13.264168873 49.889075961)
Hradčany;správní obvod obce s rozšířenou působností Tišnov;Point(16.442189067 49.32789458)
Kouřim;okres Kolín;Point(14.977096015 50.003119975)
Těchlovice;okres Hradec Králové;Point(15.71124749 50.207586955)
Kokory;okres Přerov;Point(17.375468613 49.494824314)
Spořice;okres Chomutov;Point(13.391910393 50.441031073)
Holštejn;správní obvod obce s rozšířenou působností Blansko;Point(16.777686855 49.406344047)
Nezvěstice;okres Plzeň-město;Point(13.519665968 49.640525963)
Janovice;okres Frýdek-Místek;Point(18.406049076 49.62139019)
Loket;okres Sokolov;Point(12.754126076 50.18611597)
Lichnov;okres Nový Jičín;Point(18.169006595 49.564218053)
Dolní Domaslavice;okres Frýdek-Místek;Point(18.477388122 49.709812577)
Horní Paseka;okres Havlíčkův Brod;Point(15.293222272 49.62971233)
Otmíče;okres Beroun;Point(13.947203962 49.869126971)
Skalná;okres Cheb;Point(12.36152119 50.170421313)
Křenovice;okres Přerov;Point(17.272649933 49.3304263)
Levínská Olešnice;okres Semily;Point(15.540800965 50.528256403)
Karlín;správní obvod obce s rozšířenou působností Hodonín;Point(16.977302152 48.975795289)
Hradčany;okres Brno-venkov;Point(16.442189067 49.32789458)
Dobšice;správní obvod obce s rozšířenou působností Znojmo;Point(16.085408815 48.848387436)
Sousedovice;okres Strakonice;Point(13.868548778 49.232140179)
Pustověty;okres Rakovník;Point(13.814076411 50.055692503)
Brodec;okres Louny;Point(13.801698247 50.295009192)
Dětřichov;okres Liberec;Point(15.036682123 50.892704501)
Dobšice;okres Znojmo;Point(16.085408815 48.848387436)
Vysoké Chvojno;okres Pardubice;Point(15.973556559 50.109029032)
Hora Svatého Václava;okres Domažlice;Point(12.739888282 49.518991355)
Lhotka;okres Přerov;Point(17.410088476 49.49974446)
Novosedly;okres Strakonice;Point(13.797549463 49.262756338)
Běšiny;okres Klatovy;Point(13.312599608 49.301704458)
Halámky;okres Jindřichův Hradec;Point(14.915125823 48.853205694)
Stonařov;okres Jihlava;Point(15.585649549 49.282161689)
Lčovice;okres Prachatice;Point(13.850627245 49.114624782)
Hranice;okres Cheb;Point(12.175858867 50.304715332)
Uhřice;správní obvod obce s rozšířenou působností Kyjov;Point(16.947581682 49.050367718)
Nalžovice;okres Příbram;Point(14.370795872 49.698664175)
Kvilda;okres Prachatice;Point(13.579590698 49.01934917)
Podhorní Újezd a Vojice;okres Jičín;Point(15.521018221 50.38891839)
Olešnice;okres České Budějovice;Point(14.704833913 48.841300393)
Lodhéřov;okres Jindřichův Hradec;Point(14.959964079 49.215151912)
Staré Ždánice;okres Pardubice;Point(15.720701511 50.123949773)
Holštejn;okres Blansko;Point(16.777686855 49.406344047)
Horní Lapač;okres Kroměříž;Point(17.617431338 49.300927055)
Svijany;okres Liberec;Point(15.056978132 50.572495151)
Plískov;okres Rokycany;Point(13.735396045 49.843580889)
Strmilov;okres Jindřichův Hradec;Point(15.199354738 49.158525239)
Chrustenice;okres Beroun;Point(14.152283586 50.006123229)
Staré Jesenčany;okres Pardubice;Point(15.754139928 50.000526134)
Brod nad Dyjí;okres Břeclav;Point(16.535376457 48.875239357)
České Lhotice;okres Chrudim;Point(15.77788721 49.846980975)
Karolín;okres Kroměříž;Point(17.434516777 49.230601844)
Soběhrdy;okres Benešov;Point(14.734261986 49.821088429)
Suchov;správní obvod obce s rozšířenou působností Veselí nad Moravou;Point(17.563449039 48.907428582)
Hostětice;okres Jihlava;Point(15.41407306 49.191717056)
Svatý Mikuláš;okres Kutná Hora;Point(15.3505555 49.990968218)
Divec;okres Hradec Králové;Point(15.921729532 50.239817047)
Řepín;okres Mělník;Point(14.634653573 50.366610438)
Bystřice pod Hostýnem;okres Kroměříž;Point(17.674035465 49.399238981)
Vítkovice;okres Semily;Point(15.531303448 50.679063035)
Karlín;okres Hodonín;Point(16.977302152 48.975795289)
Nový Kostel;okres Cheb;Point(12.445325333 50.217139578)
Trstěnice;okres Svitavy;Point(16.348796564 49.79417164)
Bělušice;okres Most;Point(13.762909068 50.449246228)
Skalice u České Lípy;okres Česká Lípa;Point(14.530667808 50.745184922)
Evaň;okres Litoměřice;Point(14.028967618 50.384134414)
Březina;okres Jičín;Point(15.313349452 50.434347562)
Běleč;okres Tábor;Point(14.837292058 49.543743766)
Horní Slavkov;okres Sokolov;Point(12.807657708 50.138745037)
Hrádek nad Nisou;okres Liberec;Point(14.844661931 50.852852953)
Kralice nad Oslavou;okres Třebíč;Point(16.201577003 49.19930908)
Závišice;okres Nový Jičín;Point(18.103038423 49.613248871)
Bohuslavice u Zlína;okres Zlín;Point(17.636765041 49.163104277)
Lučany nad Nisou;okres Jablonec nad Nisou;Point(15.220569907 50.741410137)
Bohuslavice;okres Jihlava;Point(15.575830735 49.149479943)
Lány;okres Chrudim;Point(15.728771518 49.947930797)
Oplot;okres Plzeň-jih;Point(13.274270553 49.579956224)
Lučina;okres Frýdek-Místek;Point(18.449697849 49.715894251)
Bohuňov;okres Žďár nad Sázavou;Point(16.202478863 49.560443853)
Jiřetín pod Jedlovou;okres Děčín;Point(14.575194251 50.87451789)
Březejc;okres Žďár nad Sázavou;Point(16.091482849 49.346337292)
Křišťanov;okres Prachatice;Point(14.020037475 48.909223112)
Březnice;okres Tábor;Point(14.514010502 49.251845662)
Bantice;správní obvod obce s rozšířenou působností Znojmo;Point(16.182390888 48.883125148)
Rajhradice;správní obvod obce s rozšířenou působností Židlochovice;Point(16.629340837 49.092061896)
Kamenná Lhota;okres Havlíčkův Brod;Point(15.275283728 49.643861052)
Martinice;okres Kroměříž;Point(17.601098034 49.310311848)
Klimkovice;okres Ostrava-město;Point(18.125896003 49.788082173)
Rozsochy;okres Žďár nad Sázavou;Point(16.200131426 49.520252477)
Bantice;okres Znojmo;Point(16.182390888 48.883125148)
Františkov nad Ploučnicí;okres Děčín;Point(14.327014113 50.725781397)
Radvanec;okres Česká Lípa;Point(14.592147607 50.75296929)
Plešnice;okres Plzeň-sever;Point(13.176795166 49.774080821)
Senice;okres Nymburk;Point(15.207645481 50.184288534)
Písečná;okres Frýdek-Místek;Point(18.78738565 49.574644895)
Stráž nad Nisou;okres Liberec;Point(15.026936662 50.791051101)
Batňovice;okres Trutnov;Point(16.036726817 50.517630798)
Bohuslavice;okres Náchod;Point(16.0886629 50.312669305)
Lípa;okres Havlíčkův Brod;Point(15.544692857 49.554227893)
Okrouhlice;okres Havlíčkův Brod;Point(15.490871457 49.629964761)
Kašperské Hory;okres Klatovy;Point(13.556180572 49.142991503)
Úsobrno;správní obvod obce s rozšířenou působností Boskovice;Point(16.762919514 49.58894687)
Bohuslavice;okres Šumperk;Point(16.940579578 49.826072453)
Bohuslavice nad Vláří;okres Zlín;Point(17.926315325 49.090169882)
Bystrá;okres Pelhřimov;Point(15.371219947 49.508523512)
Mladějov;okres Jičín;Point(15.232708961 50.482136605)
Sněžné;okres Žďár nad Sázavou;Point(16.121690785 49.645554256)
Jinošov;okres Třebíč;Point(16.193468781 49.23141358)
Bohutice;správní obvod obce s rozšířenou působností Moravský Krumlov;Point(16.357640711 48.991308592)
Zachotín;okres Pelhřimov;Point(15.34791698 49.462387792)
Světce;okres Jindřichův Hradec;Point(14.941426171 49.270618198)
Kojčice;okres Pelhřimov;Point(15.255929712 49.476008608)
Brňany;okres Litoměřice;Point(14.141950373 50.481050094)
Velký Luh;okres Cheb;Point(12.372107824 50.199180213)
Březnice;okres Zlín;Point(17.662785003 49.186433871)
Závraty;okres České Budějovice;Point(14.381515601 48.938126358)
Slaná;okres Semily;Point(15.329776688 50.580864055)
Březno;okres Chomutov;Point(13.421270603 50.401952444)
Kalhov;okres Jihlava;Point(15.441460597 49.481079476)
Jívka;okres Trutnov;Point(16.109097873 50.535033129)
Bystrovany;okres Olomouc;Point(17.32368278 49.597026753)
Třebonín;okres Kutná Hora;Point(15.312977976 49.869759285)
Kouty;okres Třebíč;Point(15.792715816 49.314779885)
Lanžhot;okres Břeclav;Point(16.966936264 48.724453275)
Těšovice;okres Prachatice;Point(14.023917991 49.057197539)
Horní Kalná;okres Trutnov;Point(15.613098931 50.56877116)
Březovice;okres Mladá Boleslav;Point(14.73369474 50.470783189)
Bakov nad Jizerou;okres Mladá Boleslav;Point(14.941580683 50.482367154)
Jiratice;okres Třebíč;Point(15.612771848 48.983124291)
Semice;okres Nymburk;Point(14.871546996 50.164230185)
Litomyšl;okres Svitavy;Point(16.310576465 49.872064383)
Valtrovice;správní obvod obce s rozšířenou působností Znojmo;Point(16.220969413 48.79376384)
Vystrkov;okres Pelhřimov;Point(15.348833901 49.519734648)
Čečelice;okres Mělník;Point(14.618661931 50.294071736)
Michalovice;okres Litoměřice;Point(14.082028568 50.536660346)
Luby;okres Cheb;Point(12.406029714 50.252601917)
Lesonice;správní obvod obce s rozšířenou působností Moravský Krumlov;Point(16.310637514 49.003289689)
Banín;okres Svitavy;Point(16.461966691 49.665641755)
Bohutice;okres Znojmo;Point(16.357640711 48.991308592)
Balkova Lhota;okres Tábor;Point(14.608250054 49.452093161)
Baliny;okres Žďár nad Sázavou;Point(15.956650312 49.335509825)
Libětice;okres Strakonice;Point(13.862676695 49.219134465)
Krokočín;okres Třebíč;Point(16.232994634 49.244121801)
Valtrovice;okres Znojmo;Point(16.220969413 48.79376384)
Županovice;okres Příbram;Point(14.298759365 49.707868219)
Pocinovice;okres Domažlice;Point(13.133521519 49.343521565)
Křenovy;okres Domažlice;Point(13.021550484 49.539260354)
Kámen;okres Pelhřimov;Point(15.015892496 49.423351858)
Kochánov;okres Havlíčkův Brod;Point(15.540268802 49.534226373)
Bartošovice;okres Nový Jičín;Point(18.054643742 49.668832844)
Lejšovka;okres Hradec Králové;Point(15.942363186 50.297702497)
Milostín;okres Rakovník;Point(13.669176213 50.193810714)
Milovice;okres Nymburk;Point(14.888710216 50.226024627)
Vrané nad Vltavou;okres Praha-západ;Point(14.377123747 49.93593205)
Úhřetice;okres Chrudim;Point(15.867301714 49.979194196)
Lanžhot;správní obvod obce s rozšířenou působností Břeclav;Point(16.966936264 48.724453275)
Herálec;okres Havlíčkův Brod;Point(15.457117105 49.530886486)
Velké Meziříčí;okres Žďár nad Sázavou;Point(16.012268756 49.355258131)
Moravské Málkovice;správní obvod obce s rozšířenou působností Vyškov;Point(17.090676261 49.256937589)
Blatná;okres Strakonice;Point(13.881793989 49.424977027)
Bartošovice v Orlických horách;okres Rychnov nad Kněžnou;Point(16.547827254 50.164008202)
Březina;správní obvod obce s rozšířenou působností Tišnov;Point(16.421440072 49.321267099)
Barchov;okres Pardubice;Point(15.680868189 49.999358315)
Březina;okres Rokycany;Point(13.596848701 49.807631038)
Komorovice;okres Pelhřimov;Point(15.345557401 49.508747529)
Záříčí;okres Kroměříž;Point(17.352852021 49.382636282)
Lesonice;okres Znojmo;Point(16.310637514 49.003289689)
Barchov;okres Hradec Králové;Point(15.567709152 50.197647603)
Milavče;okres Domažlice;Point(12.980758175 49.467067213)
Krasíkovice;okres Pelhřimov;Point(15.228695009 49.461691568)
Doksy;okres Kladno;Point(14.04789427 50.119082305)
Kejžlice;okres Pelhřimov;Point(15.392664886 49.590527952)
Březiny;okres Svitavy;Point(16.118173031 49.690663199)
Rajhradice;okres Brno-venkov;Point(16.629340837 49.092061896)
Barchovice;okres Kolín;Point(14.969161594 49.944316605)
Bohumín;okres Karviná;Point(18.357595239 49.904089832)
Žichovice;okres Klatovy;Point(13.627871291 49.267323883)
Vrbka;okres Kroměříž;Point(17.413139516 49.228238276)
Březina;okres Brno-venkov;Point(16.421440072 49.321267099)
Skapce;okres Tachov;Point(12.990392849 49.657074715)
Skrchov;správní obvod obce s rozšířenou působností Boskovice;Point(16.54939566 49.577758332)
Kramolín;okres Třebíč;Point(16.131937428 49.134241786)
Chuchelna;okres Semily;Point(15.3019689 50.6045008)
Libštát;okres Semily;Point(15.416026191 50.55945468)
Závada;okres Opava;Point(18.165705269 49.954025747)
Bohuslavice;okres Opava;Point(18.128709415 49.942307042)
Borohrádek;okres Rychnov nad Kněžnou;Point(16.093327372 50.097808676)
Sokolov;okres Sokolov;Point(12.640181474 50.181415762)
Břest;okres Kroměříž;Point(17.440738455 49.351074842)
Skrchov;okres Blansko;Point(16.54939566 49.577758332)
Velichov;okres Karlovy Vary;Point(13.00979493 50.284177967)
Dobročkovice;správní obvod obce s rozšířenou působností Bučovice;Point(17.109004512 49.16295155)
Dolní Heřmanice;okres Žďár nad Sázavou;Point(16.06012704 49.304790635)
Dobročkovice;okres Vyškov;Point(17.109004512 49.16295155)
Dolní Zálezly;okres Ústí nad Labem;Point(14.043178978 50.597401003)
Dolní Rožínka;okres Žďár nad Sázavou;Point(16.210493709 49.477045524)
Doubravník;okres Brno-venkov;Point(16.352723535 49.424140269)
Dobšice;okres Nymburk;Point(15.268682223 50.132490522)
Dolenice;správní obvod obce s rozšířenou působností Moravský Krumlov;Point(16.36565073 48.909166995)
Lukov;správní obvod obce s rozšířenou působností Znojmo;Point(15.910691871 48.861629271)
Domašín;okres Chomutov;Point(13.172290409 50.420801719)
Křinec;okres Nymburk;Point(15.137902085 50.264545431)
Dolní Moravice;okres Bruntál;Point(17.321706389 49.977119717)
Rebešovice;správní obvod obce s rozšířenou působností Šlapanice;Point(16.635237027 49.105150751)
Dolní Pohleď;okres Kutná Hora;Point(15.133570568 49.743477304)
Drysice;správní obvod obce s rozšířenou působností Vyškov;Point(17.057761016 49.334558405)
Lukov;okres Znojmo;Point(15.910691871 48.861629271)
Dobronín;okres Jihlava;Point(15.649953052 49.478376774)
Drnovice;správní obvod obce s rozšířenou působností Vyškov;Point(16.951481822 49.276314105)
Strhaře;správní obvod obce s rozšířenou působností Tišnov;Point(16.436325131 49.435645035)
Drahany;okres Prostějov;Point(16.897409019 49.433279748)
Rouské;okres Přerov;Point(17.779169983 49.471732318)
Droužkovice;okres Chomutov;Point(13.429183977 50.430877227)
Dolenice;okres Znojmo;Point(16.36565073 48.909166995)
Velenka;okres Nymburk;Point(14.895678832 50.139787171)
Svatava;okres Sokolov;Point(12.625320911 50.192347393)
Dubčany;okres Olomouc;Point(17.07885866 49.649234468)
Dolní Branná;okres Trutnov;Point(15.593914356 50.593212204)
Dolní Životice;okres Opava;Point(17.779740769 49.897318242)
Staňkov;okres Jindřichův Hradec;Point(14.952706112 48.979590906)
Dolní Studénky;okres Šumperk;Point(16.971128477 49.935079228)
Dobrá Voda;okres Žďár nad Sázavou;Point(16.065067995 49.393935798)
Dolní Nivy;okres Sokolov;Point(12.637123316 50.243223997)
Drozdov;okres Šumperk;Point(16.787399355 49.907758312)
Dobrá Voda u Českých Budějovic;okres České Budějovice;Point(14.524943189 48.96828376)
Dolní Lomná;okres Frýdek-Místek;Point(18.706114159 49.547805142)
Strhaře;okres Brno-venkov;Point(16.436325131 49.435645035)
Dobrá;okres Frýdek-Místek;Point(18.413963182 49.673811533)
Dolní Loučky;správní obvod obce s rozšířenou působností Tišnov;Point(16.358732586 49.361024858)
Dolní Krupá;okres Mladá Boleslav;Point(14.867258494 50.546381281)
Drnovice;správní obvod obce s rozšířenou působností Boskovice;Point(16.54226065 49.469334922)
Olší;správní obvod obce s rozšířenou působností Tišnov;Point(16.290251405 49.42129854)
Dolce;okres Plzeň-jih;Point(13.393447324 49.55296032)
Doudleby;okres České Budějovice;Point(14.50149215 48.893604629)
Drahkov;okres Plzeň-jih;Point(13.472474832 49.557252306)
Domanín;správní obvod obce s rozšířenou působností Kyjov;Point(17.284763871 49.001683161)
Rapšach;okres Jindřichův Hradec;Point(14.932915801 48.87927963)
Domanín;okres Jindřichův Hradec;Point(14.739777754 48.971751359)
Doubravice nad Svitavou;správní obvod obce s rozšířenou působností Blansko;Point(16.629396012 49.436662098)
Dolní Beřkovice;okres Mělník;Point(14.450331878 50.393207877)
Dolní Třebonín;okres Český Krumlov;Point(14.409709056 48.855501968)
Domašov nad Bystřicí;okres Olomouc;Point(17.44534003 49.742304597)
Sedlec;okres Praha-východ;Point(14.457947632 50.186808212)
Drysice;okres Vyškov;Point(17.057761016 49.334558405)
Dolní Dvůr;okres Trutnov;Point(15.655676515 50.652293923)
Dolní Brusnice;okres Trutnov;Point(15.726858865 50.458788151)
Doubravice;okres Trutnov;Point(15.761966222 50.40551861)
Drnovice;okres Blansko;Point(16.54226065 49.469334922)
Drnovice;okres Vyškov;Point(16.951481822 49.276314105)
Dolní Loučky;okres Brno-venkov;Point(16.358732586 49.361024858)
Dobšice;okres České Budějovice;Point(14.483805165 49.215975212)
Staré Sedlo;okres Tachov;Point(12.863666764 49.666005786)
Olší;okres Brno-venkov;Point(16.290251405 49.42129854)
Dolany;okres Olomouc;Point(17.322439871 49.649883697)
